label,value,groups
INL+CCIR,33.026,a
INL+CCHIR,31.399,a
INL+OPT_IR,29.826,a
CI,29.746,a
INL+QTF,28.777,a
INL+CCH,27.764,a
INL+HIS,27.266,a
LVF+HIS,27.062,a
INL+HIR,25.598,a
LSF+CCH,25.359,a
LSF+CCHIR,24.559,a
LSF+OPT_IR,24.442,a
SVL+HIS,24.427,a
LSF+CCIR,24.092,a
LSF+HIS,24.013,a
LVF+CCH,23.734,a
LVF+OPT_IR,22.945,a
LSF+HIR,22.288,a
LVF+CCHIR,22.272,a
LAF+HIR,22.25,a
LAF+OPT_IR,21.916,a
LVF+HIR,21.792,a
SVL+OPT_IR,21.392,a
LAF+HIS,20.94,a
SVL+HIR,20.572,a
LAF+QTF,18.301,a
LAF+CCH,18.116,a
LSF+QTF,17.637,a
LVF+CCIR,17.256,a
LVF+QTF,17.252,a
SVL+CCHIR,16.691,a
SVL+CCIR,16.397,a
SVL+CCH,16.25,a
SVL+QTF,15.693,a
LAF+CCIR,14.553,a
LAF+CCHIR,14.455,a
